,date,DX
614,2002-07-16,27.041
615,2002-07-17,23.767
616,2002-07-18,25.8196
617,2002-07-19,32.7352
618,2002-07-22,41.7298
619,2002-07-23,48.9631
620,2002-07-24,52.2827
621,2002-07-25,52.2827
622,2002-07-26,52.2827
623,2002-07-29,33.5176
624,2002-07-30,30.4153
625,2002-07-31,33.3967
626,2002-08-01,35.9574
627,2002-08-02,40.7015
628,2002-08-05,40.7015
629,2002-08-06,27.8609
630,2002-08-07,27.5664
631,2002-08-08,17.849
632,2002-08-09,17.0211
633,2002-08-12,17.2658
634,2002-08-13,11.7717
635,2002-08-14,11.5979
636,2002-08-15,5.7693
637,2002-08-16,5.7693
638,2002-08-19,4.219
639,2002-08-20,4.219
640,2002-08-21,7.8227
641,2002-08-22,13.2301
642,2002-08-23,8.4725
643,2002-08-26,4.4602
644,2002-08-27,1.2932
645,2002-08-28,6.3219
646,2002-08-29,10.4178
647,2002-08-30,10.4178
648,2002-09-03,20.3164
649,2002-09-04,19.7592
650,2002-09-05,25.5227
651,2002-09-06,20.1576
652,2002-09-09,23.9879
653,2002-09-10,17.8255
654,2002-09-11,9.4043
655,2002-09-12,16.7894
656,2002-09-13,17.5855
657,2002-09-16,17.5855
658,2002-09-17,12.1979
659,2002-09-18,15.122
660,2002-09-19,15.499
661,2002-09-20,14.1268
662,2002-09-23,26.7914
663,2002-09-24,27.6038
664,2002-09-25,23.7489
665,2002-09-26,19.4746
666,2002-09-27,23.3945
667,2002-09-30,32.8163
668,2002-10-01,23.514
669,2002-10-02,19.4387
670,2002-10-03,22.1428
671,2002-10-04,26.3703
672,2002-10-07,26.3703
673,2002-10-08,19.1246
674,2002-10-09,20.7875
675,2002-10-10,11.93
676,2002-10-11,2.7053
677,2002-10-14,5.167
678,2002-10-15,20.1934
679,2002-10-16,17.802
680,2002-10-17,23.193
681,2002-10-18,26.0741
682,2002-10-21,26.0741
683,2002-10-22,23.6513
684,2002-10-23,29.4067
685,2002-10-24,25.4401
686,2002-10-25,25.4401
687,2002-10-28,28.6411
688,2002-10-29,23.3839
689,2002-10-30,27.6292
690,2002-10-31,30.6839
691,2002-11-01,23.0462
692,2002-11-04,38.9101
693,2002-11-05,38.9101
694,2002-11-06,39.9365
695,2002-11-07,39.6894
696,2002-11-08,35.5743
697,2002-11-11,26.0793
698,2002-11-12,27.5602
699,2002-11-13,29.8032
700,2002-11-14,34.3801
701,2002-11-15,32.678
702,2002-11-18,33.1681
703,2002-11-19,21.1042
704,2002-11-20,26.496
705,2002-11-21,31.4288
706,2002-11-22,32.7249
707,2002-11-25,34.2085
708,2002-11-26,27.3403
709,2002-11-27,29.0812
710,2002-11-29,29.1804
711,2002-12-02,23.1064
712,2002-12-03,17.8815
713,2002-12-04,12.9207
714,2002-12-05,8.6777
715,2002-12-06,0.4278
716,2002-12-09,4.5845
717,2002-12-10,4.7959
718,2002-12-11,0.6501
719,2002-12-12,0.2562
720,2002-12-13,9.2297
721,2002-12-16,2.7432
722,2002-12-17,0.6718
723,2002-12-18,6.6749
724,2002-12-19,3.8544
725,2002-12-20,3.8544
726,2002-12-23,0.7956
727,2002-12-24,0.7956
728,2002-12-26,4.6801
729,2002-12-27,2.2074
730,2002-12-30,3.3972
731,2002-12-31,11.5796
732,2003-01-02,4.5644
733,2003-01-03,4.1111
734,2003-01-06,7.9079
735,2003-01-07,13.6326
736,2003-01-08,8.4469
737,2003-01-09,11.2154
738,2003-01-10,14.026
739,2003-01-13,17.2898
740,2003-01-14,19.0861
741,2003-01-15,21.3865
742,2003-01-16,10.2509
743,2003-01-17,17.709
744,2003-01-21,17.8244
745,2003-01-22,20.0674
746,2003-01-23,18.8098
747,2003-01-24,28.6934
748,2003-01-27,34.8156
749,2003-01-28,34.8156
750,2003-01-29,37.7096
751,2003-01-30,36.3943
752,2003-01-31,41.6308
753,2003-02-03,34.1162
754,2003-02-04,36.844
755,2003-02-05,31.0347
756,2003-02-06,31.9114
757,2003-02-07,28.5718
758,2003-02-10,28.5718
759,2003-02-11,31.7067
