,date,MACD_Signal,MACD_Hist,MACD
267,2001-03-13,-0.1376,-0.5692,-0.7068
268,2001-03-14,-0.2882,-0.6022,-0.8904
269,2001-03-15,-0.4403,-0.6085,-1.0487
270,2001-03-16,-0.5705,-0.521,-1.0915
271,2001-03-19,-0.6829,-0.4496,-1.1325
272,2001-03-20,-0.8025,-0.4784,-1.2809
273,2001-03-21,-0.9605,-0.6319,-1.5924
274,2001-03-22,-1.0692,-0.4348,-1.504
275,2001-03-23,-1.098,-0.1154,-1.2134
276,2001-03-26,-1.0808,0.069,-1.0118
277,2001-03-27,-0.9981,0.3306,-0.6676
278,2001-03-28,-0.9195,0.3146,-0.6049
279,2001-03-29,-0.8482,0.285,-0.5632
280,2001-03-30,-0.7944,0.2152,-0.5792
281,2001-04-02,-0.7347,0.2389,-0.4958
282,2001-04-03,-0.7115,0.0929,-0.6186
283,2001-04-04,-0.7337,-0.089,-0.8227
284,2001-04-05,-0.7049,0.1154,-0.5895
285,2001-04-06,-0.6529,0.2081,-0.4447
286,2001-04-09,-0.5722,0.3225,-0.2497
287,2001-04-10,-0.4362,0.544,0.1078
288,2001-04-11,-0.2659,0.6813,0.4154
289,2001-04-12,-0.0482,0.8706,0.8223
290,2001-04-16,0.1656,0.8553,1.0209
291,2001-04-17,0.3765,0.8435,1.2199
292,2001-04-18,0.6366,1.0405,1.677
293,2001-04-19,0.9541,1.2701,2.2243
294,2001-04-20,1.3041,1.4001,2.7042
295,2001-04-23,1.6412,1.3484,2.9896
296,2001-04-24,1.9377,1.1857,3.1233
297,2001-04-25,2.2228,1.1404,3.3632
298,2001-04-26,2.4718,0.9963,3.4681
299,2001-04-27,2.6476,0.7029,3.3505
300,2001-04-30,2.7721,0.4982,3.2704
301,2001-05-01,2.8904,0.473,3.3634
302,2001-05-02,2.9853,0.3799,3.3652
303,2001-05-03,3.0343,0.1959,3.2302
304,2001-05-04,3.0804,0.1843,3.2647
305,2001-05-07,3.1253,0.1795,3.3048
306,2001-05-08,3.1708,0.182,3.3527
307,2001-05-09,3.1805,0.0392,3.2197
308,2001-05-10,3.1538,-0.1069,3.0469
309,2001-05-11,3.0888,-0.2599,2.8289
310,2001-05-14,2.9854,-0.4138,2.5716
311,2001-05-15,2.8493,-0.5444,2.3048
312,2001-05-16,2.7075,-0.567,2.1405
313,2001-05-17,2.5477,-0.6392,1.9085
314,2001-05-18,2.3779,-0.6794,1.6985
315,2001-05-21,2.2164,-0.6459,1.5705
316,2001-05-22,2.0878,-0.5143,1.5736
317,2001-05-23,1.9721,-0.4628,1.5094
318,2001-05-24,1.8983,-0.2953,1.603
319,2001-05-25,1.8374,-0.2439,1.5935
320,2001-05-29,1.7744,-0.252,1.5224
321,2001-05-30,1.691,-0.3334,1.3576
322,2001-05-31,1.5953,-0.383,1.2123
323,2001-06-01,1.5116,-0.3345,1.1771
324,2001-06-04,1.4435,-0.2723,1.1712
325,2001-06-05,1.4145,-0.1161,1.2985
326,2001-06-06,1.4045,-0.0403,1.3642
327,2001-06-07,1.4247,0.0808,1.5055
328,2001-06-08,1.4517,0.1082,1.5599
329,2001-06-11,1.4612,0.0382,1.4994
330,2001-06-12,1.4553,-0.0236,1.4317
331,2001-06-13,1.4146,-0.1631,1.2515
332,2001-06-14,1.3223,-0.369,0.9533
333,2001-06-15,1.1856,-0.547,0.6385
334,2001-06-18,1.0072,-0.7135,0.2937
335,2001-06-19,0.8168,-0.7615,0.0553
336,2001-06-20,0.6604,-0.6257,0.0347
337,2001-06-21,0.5388,-0.4864,0.0524
338,2001-06-22,0.428,-0.443,-0.0149
339,2001-06-25,0.3293,-0.3951,-0.0659
340,2001-06-26,0.263,-0.2651,-0.0022
341,2001-06-27,0.2359,-0.1083,0.1276
342,2001-06-28,0.2598,0.0956,0.3554
343,2001-06-29,0.3179,0.2326,0.5506
344,2001-07-02,0.3555,0.1503,0.5058
345,2001-07-03,0.3753,0.0792,0.4545
346,2001-07-05,0.3508,-0.098,0.2528
347,2001-07-06,0.26,-0.3634,-0.1035
348,2001-07-09,0.1258,-0.5368,-0.411
349,2001-07-10,-0.0481,-0.6956,-0.7438
350,2001-07-11,-0.2055,-0.6294,-0.8349
