,date,EMA
653,2002-09-09,49.0625
654,2002-09-10,49.1318
655,2002-09-11,49.0792
656,2002-09-12,48.8955
657,2002-09-13,48.8016
658,2002-09-16,48.7043
659,2002-09-17,48.5696
660,2002-09-18,48.4916
661,2002-09-19,48.3686
662,2002-09-20,48.282
663,2002-09-23,47.9914
664,2002-09-24,47.7674
665,2002-09-25,47.6477
666,2002-09-26,47.5098
667,2002-09-27,47.2946
668,2002-09-30,46.9561
669,2002-10-01,46.8869
670,2002-10-02,46.7653
671,2002-10-03,46.5781
672,2002-10-04,46.3107
673,2002-10-07,46.0954
674,2002-10-08,45.9901
675,2002-10-09,45.7996
676,2002-10-10,45.8549
677,2002-10-11,46.142
678,2002-10-14,46.4419
679,2002-10-15,46.9988
680,2002-10-16,47.3237
681,2002-10-17,47.6519
682,2002-10-18,48.1755
683,2002-10-21,48.5883
684,2002-10-22,48.8818
685,2002-10-23,49.2931
686,2002-10-24,49.4776
687,2002-10-25,49.7826
688,2002-10-28,49.989
689,2002-10-29,50.1872
690,2002-10-30,50.4655
691,2002-10-31,50.7517
692,2002-11-01,50.9658
693,2002-11-04,51.4548
694,2002-11-05,51.9524
695,2002-11-06,52.436
696,2002-11-07,52.7764
697,2002-11-08,52.9977
698,2002-11-11,53.0798
699,2002-11-12,53.216
700,2002-11-13,53.4202
701,2002-11-14,53.7602
702,2002-11-15,54.0392
703,2002-11-18,54.2117
704,2002-11-19,54.2734
705,2002-11-20,54.4969
706,2002-11-21,54.8153
707,2002-11-22,55.1395
708,2002-11-25,55.4339
709,2002-11-26,55.5735
710,2002-11-27,55.8122
711,2002-11-29,55.9901
712,2002-12-02,56.152
713,2002-12-03,56.2051
714,2002-12-04,56.237
715,2002-12-05,56.1516
716,2002-12-06,56.0867
717,2002-12-09,55.8432
718,2002-12-10,55.6686
719,2002-12-11,55.5725
720,2002-12-12,55.439
721,2002-12-13,55.1591
722,2002-12-16,55.0944
723,2002-12-17,55.0245
724,2002-12-18,54.8821
725,2002-12-19,54.7133
726,2002-12-20,54.554
727,2002-12-23,54.5012
728,2002-12-24,54.4363
729,2002-12-26,54.3367
730,2002-12-27,54.2065
731,2002-12-30,54.0678
732,2002-12-31,53.8423
733,2003-01-02,53.8307
734,2003-01-03,53.8268
735,2003-01-06,53.9166
736,2003-01-07,54.096
737,2003-01-08,54.1097
738,2003-01-09,54.2716
739,2003-01-10,54.4286
740,2003-01-13,54.6154
741,2003-01-14,54.8397
742,2003-01-15,54.9759
743,2003-01-16,55.0115
744,2003-01-17,54.6733
745,2003-01-21,54.3549
746,2003-01-22,54.0354
747,2003-01-23,53.8682
748,2003-01-24,53.4855
749,2003-01-27,53.0745
750,2003-01-28,52.6693
751,2003-01-29,52.4065
752,2003-01-30,52.0097
753,2003-01-31,51.5764
754,2003-02-03,51.2891
755,2003-02-04,50.9111
756,2003-02-05,50.5348
757,2003-02-06,50.2382
758,2003-02-07,49.8898
759,2003-02-10,49.6507
760,2003-02-11,49.345
761,2003-02-12,49.0683
