,date,CMO
563,2002-05-02,-27.366
564,2002-05-03,-32.9443
565,2002-05-06,-35.8966
566,2002-05-07,-30.4305
567,2002-05-08,-2.3821
568,2002-05-09,-12.6303
569,2002-05-10,-19.1219
570,2002-05-13,-8.3176
571,2002-05-14,-0.3684
572,2002-05-15,-0.8232
573,2002-05-16,2.7358
574,2002-05-17,3.7831
575,2002-05-20,-3.8108
576,2002-05-21,-10.0528
577,2002-05-22,-4.1872
578,2002-05-23,0.0376
579,2002-05-24,-5.5293
580,2002-05-28,-8.7501
581,2002-05-29,-9.6811
582,2002-05-30,-7.1661
583,2002-05-31,-13.3022
584,2002-06-03,-18.2037
585,2002-06-04,-15.6177
586,2002-06-05,-8.1462
587,2002-06-06,-7.1054
588,2002-06-07,-6.745
589,2002-06-10,-2.9167
590,2002-06-11,-3.9953
591,2002-06-12,8.6913
592,2002-06-13,2.8229
593,2002-06-14,6.9494
594,2002-06-17,8.654
595,2002-06-18,9.9064
596,2002-06-19,2.1542
597,2002-06-20,0.9585
598,2002-06-21,-7.0572
599,2002-06-24,1.4506
600,2002-06-25,-3.7325
601,2002-06-26,1.4367
602,2002-06-27,4.7806
603,2002-06-28,3.7488
604,2002-07-01,-5.3487
605,2002-07-02,-10.3002
606,2002-07-03,-8.3441
607,2002-07-05,5.0009
608,2002-07-08,-3.0583
609,2002-07-09,-1.8222
610,2002-07-10,-5.8002
611,2002-07-11,-2.7725
612,2002-07-12,-7.1556
613,2002-07-15,-7.4066
614,2002-07-16,-9.7613
615,2002-07-17,-5.8958
616,2002-07-18,-9.8611
617,2002-07-19,-16.3247
618,2002-07-22,-23.9199
619,2002-07-23,-37.1102
620,2002-07-24,-21.2733
621,2002-07-25,-30.2304
622,2002-07-26,-19.613
623,2002-07-29,-8.8618
624,2002-07-30,-9.3056
625,2002-07-31,-9.6761
626,2002-08-01,-16.3585
627,2002-08-02,-20.0977
628,2002-08-05,-21.259
629,2002-08-06,-14.266
630,2002-08-07,-8.6891
631,2002-08-08,-1.9744
632,2002-08-09,-4.6655
633,2002-08-12,-3.3424
634,2002-08-13,-8.2601
635,2002-08-14,1.6401
636,2002-08-15,1.854
637,2002-08-16,2.7078
638,2002-08-19,9.8834
639,2002-08-20,5.9357
640,2002-08-21,10.3164
641,2002-08-22,13.5628
642,2002-08-23,9.1415
643,2002-08-26,8.6127
644,2002-08-27,3.0915
645,2002-08-28,-2.9272
646,2002-08-29,2.0218
647,2002-08-30,-4.0487
648,2002-09-03,-11.6485
649,2002-09-04,-6.5183
650,2002-09-05,-14.5102
651,2002-09-06,-6.5477
652,2002-09-09,-3.0718
653,2002-09-10,1.1334
654,2002-09-11,-3.4687
655,2002-09-12,-8.6405
656,2002-09-13,-5.479
657,2002-09-16,-5.9717
658,2002-09-17,-7.8768
659,2002-09-18,-5.7593
660,2002-09-19,-8.0314
661,2002-09-20,-6.7507
662,2002-09-23,-15.7662
663,2002-09-24,-13.6399
664,2002-09-25,-9.1614
665,2002-09-26,-10.4846
666,2002-09-27,-14.5019
667,2002-09-30,-20.4735
668,2002-10-01,-7.4471
669,2002-10-02,-9.9978
670,2002-10-03,-13.2843
671,2002-10-04,-17.3252
672,2002-10-07,-15.7813
673,2002-10-08,-10.6365
674,2002-10-09,-14.8724
675,2002-10-10,-2.6332
676,2002-10-11,8.1044
677,2002-10-14,9.7803
678,2002-10-15,20.6595
679,2002-10-16,11.769
680,2002-10-17,13.0602
681,2002-10-18,21.0961
682,2002-10-21,18.0086
683,2002-10-22,13.9931
684,2002-10-23,19.2605
685,2002-10-24,10.1198
686,2002-10-25,15.158
687,2002-10-28,11.8358
688,2002-10-29,12.2738
689,2002-10-30,16.0766
690,2002-10-31,17.3816
691,2002-11-01,14.9257
692,2002-11-04,25.7162
693,2002-11-05,27.5266
694,2002-11-06,28.6314
695,2002-11-07,22.8847
696,2002-11-08,17.9365
697,2002-11-11,11.4969
698,2002-11-12,14.0854
699,2002-11-13,17.4104
700,2002-11-14,23.395
701,2002-11-15,21.6867
702,2002-11-18,16.9161
703,2002-11-19,11.4935
704,2002-11-20,18.5618
705,2002-11-21,23.0462
706,2002-11-22,24.4108
707,2002-11-25,24.448
708,2002-11-26,16.4437
709,2002-11-27,21.1783
710,2002-11-29,18.7768
711,2002-12-02,18.8191
712,2002-12-03,12.7559
713,2002-12-04,11.715
714,2002-12-05,4.5438
715,2002-12-06,5.2374
716,2002-12-09,-5.5449
717,2002-12-10,-2.8017
718,2002-12-11,0.8709
719,2002-12-12,-1.9098
720,2002-12-13,-10.7376
721,2002-12-16,0.4444
722,2002-12-17,-0.1986
723,2002-12-18,-4.6424
724,2002-12-19,-6.8516
725,2002-12-20,-7.2287
726,2002-12-23,-1.3084
727,2002-12-24,-2.3722
728,2002-12-26,-4.9488
729,2002-12-27,-7.4598
730,2002-12-30,-8.7884
731,2002-12-31,-14.9247
732,2003-01-02,-1.145
733,2003-01-03,-0.7045
734,2003-01-06,5.3684
735,2003-01-07,11.287
736,2003-01-08,1.1965
737,2003-01-09,9.8554
738,2003-01-10,10.4342
739,2003-01-13,12.9486
740,2003-01-14,16.0112
741,2003-01-15,11.0478
742,2003-01-16,4.8422
743,2003-01-17,-16.0404
744,2003-01-21,-16.6246
745,2003-01-22,-18.1465
746,2003-01-23,-9.9522
747,2003-01-24,-20.9136
748,2003-01-27,-23.6512
749,2003-01-28,-25.0567
750,2003-01-29,-17.9392
751,2003-01-30,-24.8382
752,2003-01-31,-27.8216
753,2003-02-03,-20.709
754,2003-02-04,-25.6201
755,2003-02-05,-27.0019
756,2003-02-06,-23.9059
757,2003-02-07,-27.3119
758,2003-02-10,-21.8444
759,2003-02-11,-25.7864
760,2003-02-12,-25.7864
761,2003-02-13,-21.8035
762,2003-02-14,-12.8449
763,2003-02-18,-63.3707
764,2003-02-19,-63.778
765,2003-02-20,-64.1584
766,2003-02-21,-61.9095
767,2003-02-24,-62.5271
768,2003-02-25,-61.9348
769,2003-02-26,-62.6277
770,2003-02-27,-62.6647
771,2003-02-28,-61.9894
772,2003-03-03,-62.2096
773,2003-03-04,-62.8746
774,2003-03-05,-60.5338
775,2003-03-06,-60.8062
776,2003-03-07,-58.8374
777,2003-03-10,-59.9238
778,2003-03-11,-60.1957
779,2003-03-12,-55.8182
780,2003-03-13,-46.6656
781,2003-03-14,-45.3318
782,2003-03-17,-37.8975
783,2003-03-18,-37.1384
784,2003-03-19,-35.1449
785,2003-03-20,-35.392
786,2003-03-21,-32.954
787,2003-03-24,-37.6792
788,2003-03-25,-36.1015
789,2003-03-26,-37.0132
790,2003-03-27,-37.8302
791,2003-03-28,-39.2906
792,2003-03-31,-41.1013
793,2003-04-01,-39.7658
794,2003-04-02,-27.3503
795,2003-04-03,-27.2634
796,2003-04-04,-30.4588
797,2003-04-07,-29.709
798,2003-04-08,-25.8084
799,2003-04-09,-31.1753
800,2003-04-10,-30.9778
801,2003-04-11,-33.0469
802,2003-04-14,-27.2799
803,2003-04-15,-28.2157
804,2003-04-16,-24.8337
805,2003-04-17,-18.8525
806,2003-04-21,-20.8485
807,2003-04-22,-15.192
808,2003-04-23,-15.4948
809,2003-04-24,-17.2824
810,2003-04-25,-19.3895
811,2003-04-28,-13.5267
812,2003-04-29,-12.8536
813,2003-04-30,-14.8898
814,2003-05-01,-13.076
815,2003-05-02,-8.508
816,2003-05-05,-10.901
817,2003-05-06,-4.7714
818,2003-05-07,-8.728
819,2003-05-08,-11.2807
820,2003-05-09,-3.7087
821,2003-05-12,-5.4563
822,2003-05-13,-7.7688
823,2003-05-14,-11.7713
824,2003-05-15,-9.4737
825,2003-05-16,-11.9396
826,2003-05-19,-20.3486
827,2003-05-20,-21.6132
828,2003-05-21,-27.2263
829,2003-05-22,-25.1819
830,2003-05-23,-24.2122
831,2003-05-27,-15.2819
832,2003-05-28,-19.3509
833,2003-05-29,-19.458
834,2003-05-30,-16.0495
835,2003-06-02,-15.5537
836,2003-06-03,-11.5408
837,2003-06-04,-11.6753
838,2003-06-05,-21.4801
839,2003-06-06,-26.1281
840,2003-06-09,-24.6487
841,2003-06-10,-9.0032
842,2003-06-11,-5.9916
843,2003-06-12,-4.3229
844,2003-06-13,-8.985
845,2003-06-16,1.9597
846,2003-06-17,9.3416
847,2003-06-18,10.7073
848,2003-06-19,10.7073
849,2003-06-20,14.0966
850,2003-06-23,5.2047
851,2003-06-24,3.9642
852,2003-06-25,-2.6796
853,2003-06-26,4.4763
854,2003-06-27,2.6325
855,2003-06-30,2.783
856,2003-07-01,10.232
857,2003-07-02,19.5229
858,2003-07-03,13.1083
859,2003-07-07,23.5628
860,2003-07-08,26.3997
861,2003-07-09,22.4695
862,2003-07-10,13.4301
863,2003-07-11,17.9817
864,2003-07-14,18.9905
865,2003-07-15,16.8061
866,2003-07-16,19.787
867,2003-07-17,6.4569
868,2003-07-18,9.0248
869,2003-07-21,-2.8999
870,2003-07-22,1.6303
871,2003-07-23,2.56
872,2003-07-24,-3.6048
873,2003-07-25,7.9183
874,2003-07-28,4.0846
875,2003-07-29,2.1742
876,2003-07-30,-1.1013
877,2003-07-31,1.3943
878,2003-08-01,-2.0008
879,2003-08-04,-1.8512
880,2003-08-05,-9.1442
881,2003-08-06,-9.2806
882,2003-08-07,-8.2538
883,2003-08-08,-10.1787
884,2003-08-11,-9.62
885,2003-08-12,-7.3285
886,2003-08-13,-9.4862
887,2003-08-14,-8.8704
888,2003-08-15,-10.4607
889,2003-08-18,-6.9676
890,2003-08-19,10.2169
891,2003-08-20,6.8772
892,2003-08-21,2.8258
893,2003-08-22,2.4365
894,2003-08-25,7.592
895,2003-08-26,8.8594
896,2003-08-27,5.5927
897,2003-08-28,7.3487
898,2003-08-29,7.5499
899,2003-09-02,20.9212
900,2003-09-03,34.8592
901,2003-09-04,36.3357
902,2003-09-05,35.096
903,2003-09-08,40.3488
904,2003-09-09,29.1106
905,2003-09-10,12.5583
906,2003-09-11,16.5415
907,2003-09-12,22.9143
908,2003-09-15,23.1613
909,2003-09-16,29.5758
910,2003-09-17,21.657
911,2003-09-18,32.511
912,2003-09-19,36.7538
913,2003-09-22,21.2317
914,2003-09-23,26.4638
915,2003-09-24,9.931
916,2003-09-25,7.0871
917,2003-09-26,6.4284
918,2003-09-29,13.5897
919,2003-09-30,0.5528
920,2003-10-01,8.2972
921,2003-10-02,8.0512
922,2003-10-03,14.0144
923,2003-10-06,15.1135
924,2003-10-07,14.4137
925,2003-10-08,9.9128
926,2003-10-09,11.2904
927,2003-10-10,10.8443
928,2003-10-13,8.8543
929,2003-10-14,7.2946
930,2003-10-15,12.4448
931,2003-10-16,14.4962
932,2003-10-17,9.4357
933,2003-10-20,14.9738
934,2003-10-21,14.9738
935,2003-10-22,7.0309
936,2003-10-23,7.324
937,2003-10-24,-22.3151
938,2003-10-27,-17.8467
939,2003-10-28,-13.623
940,2003-10-29,-18.5002
941,2003-10-30,-24.5448
942,2003-10-31,-24.2319
943,2003-11-03,-15.9533
944,2003-11-04,-22.1241
945,2003-11-05,-21.6617
946,2003-11-06,-19.596
947,2003-11-07,-21.0078
948,2003-11-10,-22.1151
949,2003-11-11,-24.3477
950,2003-11-12,-21.0601
951,2003-11-13,-24.4477
952,2003-11-14,-26.6195
953,2003-11-17,-30.4937
954,2003-11-18,-30.4937
955,2003-11-19,-26.2726
956,2003-11-20,-29.2825
957,2003-11-21,-29.0606
958,2003-11-24,-16.0628
959,2003-11-25,-20.546
960,2003-11-26,-19.5278
961,2003-11-28,-14.2458
962,2003-12-01,-11.649
963,2003-12-02,-14.4821
