,date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
326,2001-04-04,3138.8999,3138.8999,3115.1001,3138.8999,3138.8999,0.0,0.0,1.0
327,2001-04-05,3138.8999,3170.3999,3137.6001,3164.1001,3164.1001,0.0,0.0,1.0
328,2001-04-06,3164.1001,3206.2,3164.1001,3175.5,3175.5,0.0,0.0,1.0
329,2001-04-09,3175.5,3175.5,3154.8,3158.5,3158.5,0.0,0.0,1.0
330,2001-04-10,3158.5,3174.7,3158.5,3169.6001,3169.6001,0.0,0.0,1.0
331,2001-04-11,3169.6001,3208.8999,3169.5,3198.5,3198.5,0.0,0.0,1.0
332,2001-04-12,3198.5,3221.1001,3192.3,3216.1001,3216.1001,0.0,0.0,1.0
333,2001-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
334,2001-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
335,2001-04-17,3216.1001,3217.5,3198.1001,3199.8,3199.8,0.0,0.0,1.0
336,2001-04-18,3199.8,3222.8999,3199.8,3219.5,3219.5,0.0,0.0,1.0
337,2001-04-19,3219.5,3272.3999,3219.5,3263.6001,3263.6001,0.0,0.0,1.0
338,2001-04-20,3263.6001,3266.1001,3242.8,3243.7,3243.7,0.0,0.0,1.0
339,2001-04-23,3243.7,3247.8,3231.0,3241.5,3241.5,0.0,0.0,1.0
340,2001-04-24,3241.5,3245.8,3228.3999,3241.5,3241.5,0.0,0.0,1.0
341,2001-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
342,2001-04-26,3241.5,3254.2,3238.6001,3253.8999,3253.8999,0.0,0.0,1.0
343,2001-04-27,3253.8999,3254.8999,3237.3,3237.3,3237.3,0.0,0.0,1.0
344,2001-04-30,3237.3,3270.3,3237.0,3270.3,3270.3,0.0,0.0,1.0
345,2001-05-01,3270.3,3274.2,3265.6001,3268.6001,3268.6001,0.0,0.0,1.0
346,2001-05-02,3268.6001,3295.7,3268.6001,3271.5,3271.5,0.0,0.0,1.0
347,2001-05-03,3271.5,3291.8,3263.6001,3288.8,3288.8,0.0,0.0,1.0
348,2001-05-04,3288.8,3288.8,3267.7,3279.8999,3279.8999,0.0,0.0,1.0
349,2001-05-07,3279.8999,3298.2,3279.8999,3293.8999,3293.8999,0.0,0.0,1.0
350,2001-05-08,3293.8999,3296.7,3279.2,3279.8999,3279.8999,0.0,0.0,1.0
351,2001-05-09,3279.8999,3289.1001,3270.0,3286.8999,3286.8999,0.0,0.0,1.0
